species	local_incomplete_count	ensembl_dir	match_type	exact_accession_count	assembly_name_match_count	has_gff3	has_gtf	gff3_url	gtf_url	gff3_listing_status	gtf_listing_status	observed_accessions	exact_accessions	assembly_name_matches
Arachis hypogaea	9	arachis_hypogaea	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/arachis_hypogaea/Arachis_hypogaea.arahy.Tifrunner.gnm2.J5K5.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/arachis_hypogaea/Arachis_hypogaea.arahy.Tifrunner.gnm2.J5K5.62.chr.gtf.gz	cached	cached			
Beta vulgaris	326	beta_vulgaris	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/beta_vulgaris/Beta_vulgaris.RefBeet-1.2.2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/beta_vulgaris/Beta_vulgaris.RefBeet-1.2.2.62.chr.gtf.gz	cached	cached			
Brassica napus	107	brassica_napus	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/brassica_napus/Brassica_napus.AST_PRJEB5043_v1.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/brassica_napus/Brassica_napus.AST_PRJEB5043_v1.62.gtf.gz	cached	cached			
Brassica oleracea	28	brassica_oleracea	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/brassica_oleracea/Brassica_oleracea.BOL.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/brassica_oleracea/Brassica_oleracea.BOL.62.chr.gtf.gz	cached	cached			
Brassica rapa	18	brassica_rapa	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/brassica_rapa/Brassica_rapa.Brapa_1.0.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/brassica_rapa/Brassica_rapa.Brapa_1.0.62.chr.gtf.gz	cached	cached			
Brassica rapa	18	brassica_rapa_ro18	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/brassica_rapa_ro18/Brassica_rapa_ro18.SCU_BraROA_2.3.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/brassica_rapa_ro18/Brassica_rapa_ro18.SCU_BraROA_2.3.62.chr.gtf.gz	cached	cached			
Brassica rapa	18	brassica_rapa_z1	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/brassica_rapa_z1/Brassica_rapa_z1.brapa_z1_v2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/brassica_rapa_z1/Brassica_rapa_z1.brapa_z1_v2.62.chr.gtf.gz	cached	cached			
Citrullus lanatus	117	citrullus_lanatus	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/citrullus_lanatus/Citrullus_lanatus.Cla97_v1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/citrullus_lanatus/Citrullus_lanatus.Cla97_v1.62.chr.gtf.gz	cached	cached			
Cucumis melo	39	cucumis_melo	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/cucumis_melo/Cucumis_melo.Melonv4.62.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/cucumis_melo/Cucumis_melo.Melonv4.62.gtf.gz	cached	cached			
Cucumis sativus	44	cucumis_sativus	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/cucumis_sativus/Cucumis_sativus.ASM407v2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/cucumis_sativus/Cucumis_sativus.ASM407v2.62.chr.gtf.gz	cached	cached			
Daucus carota	3	daucus_carota	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/daucus_carota/Daucus_carota.ASM162521v1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/daucus_carota/Daucus_carota.ASM162521v1.62.chr.gtf.gz	cached	cached			
Glycine max	32	glycine_max	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/glycine_max/Glycine_max.Glycine_max_v2.1.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/glycine_max/Glycine_max.Glycine_max_v2.1.62.chr.gtf.gz	cached	cached			
Helianthus annuus	2	helianthus_annuus	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/helianthus_annuus/Helianthus_annuus.HanXRQr2.0-SUNRISE.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/helianthus_annuus/Helianthus_annuus.HanXRQr2.0-SUNRISE.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_10tj18	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_10tj18/Hordeum_vulgare_10tj18.Hvulgare_10TJ18_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_10tj18/Hordeum_vulgare_10tj18.Hvulgare_10TJ18_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_aizu6	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_aizu6/Hordeum_vulgare_aizu6.Hvulgare_cv_Aizu6_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_aizu6/Hordeum_vulgare_aizu6.Hvulgare_cv_Aizu6_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_akashinriki	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_akashinriki/Hordeum_vulgare_akashinriki.Hvulgare_cv_Akashinriki_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_akashinriki/Hordeum_vulgare_akashinriki.Hvulgare_cv_Akashinriki_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_barke	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_barke/Hordeum_vulgare_barke.Hvulgare_cv_Barke_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_barke/Hordeum_vulgare_barke.Hvulgare_cv_Barke_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_bonus	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_bonus/Hordeum_vulgare_bonus.Hvulgare_cv_Bonus_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_bonus/Hordeum_vulgare_bonus.Hvulgare_cv_Bonus_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_bowman	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_bowman/Hordeum_vulgare_bowman.Hvulgare_cv_Bowman_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_bowman/Hordeum_vulgare_bowman.Hvulgare_cv_Bowman_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_chikurinibaraki1	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_chikurinibaraki1/Hordeum_vulgare_chikurinibaraki1.Hvulgare_cv_Chikurin_Ibaraki1_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_chikurinibaraki1/Hordeum_vulgare_chikurinibaraki1.Hvulgare_cv_Chikurin_Ibaraki1_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_foma	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_foma/Hordeum_vulgare_foma.Hvulgare_cv_Foma_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_foma/Hordeum_vulgare_foma.Hvulgare_cv_Foma_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft11	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft11/Hordeum_vulgare_ft11.Hvulgare_FT11_B1K_04_12_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft11/Hordeum_vulgare_ft11.Hvulgare_FT11_B1K_04_12_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft144	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft144/Hordeum_vulgare_ft144.Hvulgare_FT144_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft144/Hordeum_vulgare_ft144.Hvulgare_FT144_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft262	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft262/Hordeum_vulgare_ft262.Hvulgare_FT262_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft262/Hordeum_vulgare_ft262.Hvulgare_FT262_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft286	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft286/Hordeum_vulgare_ft286.Hvulgare_FT286_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft286/Hordeum_vulgare_ft286.Hvulgare_FT286_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft333	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft333/Hordeum_vulgare_ft333.Hvulgare_FT333_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft333/Hordeum_vulgare_ft333.Hvulgare_FT333_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft628	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft628/Hordeum_vulgare_ft628.Hvulgare_FT628_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft628/Hordeum_vulgare_ft628.Hvulgare_FT628_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft67	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft67/Hordeum_vulgare_ft67.Hvulgare_FT67_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft67/Hordeum_vulgare_ft67.Hvulgare_FT67_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_ft880	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_ft880/Hordeum_vulgare_ft880.Hvulgare_FT880_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_ft880/Hordeum_vulgare_ft880.Hvulgare_FT880_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_goldenmelon	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_goldenmelon/Hordeum_vulgare_goldenmelon.Hvulgare_cv_Golden_Melon_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_goldenmelon/Hordeum_vulgare_goldenmelon.Hvulgare_cv_Golden_Melon_BPGv2.62.chr.gtf.gz	cached	cached			
Hordeum vulgare	171	hordeum_vulgare_goldenpromise	species_only	0	0	yes	yes	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gff3/hordeum_vulgare_goldenpromise/Hordeum_vulgare_goldenpromise.Hvulgare_cv_Golden_Promise_BPGv2.62.chr.gff3.gz	https://ftp.ebi.ac.uk/ensemblgenomes/pub/plants/current/gtf/hordeum_vulgare_goldenpromise/Hordeum_vulgare_goldenpromise.Hvulgare_cv_Golden_Promise_BPGv2.62.chr.gtf.gz	cached	cached			
