species	assembly_accession	assembly_name	cultivar	species_dir	maizegdb_dir	has_gff3	has_gtf	gff3_url	gtf_url	root_listing_status	gff_listing_status	match_evidence
Zea mays	GCA_001644905.2	Zm-W22-REFERENCE-NRGENE-2.0	W22	Zea_mays_GCA_001644905.2	Zm-W22-REFERENCE-NRGENE-2.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-W22-REFERENCE-NRGENE-2.0_Zm00004b.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_001984235.2	Zm-EP1-REFERENCE-TUM-1.0	EP1	Zea_mays_GCA_001984235.2	Zm-EP1-REFERENCE-TUM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-EP1-REFERENCE-TUM-1.0_Zm00010a.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_001990705.1	Zm-F7-REFERENCE-TUM-1.0	F7	Zea_mays_GCA_001990705.1	Zm-F7-REFERENCE-TUM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-F7-REFERENCE-TUM-1.0_Zm00011a.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_003704525.1	Zm-PE0075-REFERENCE-TUM-1.0	PE0075	Zea_mays_GCA_003704525.1	Zm-PE0075-REFERENCE-TUM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-PE0075-REFERENCE-TUM-1.0_Zm00017a.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_003709335.1	Zm-DK105-REFERENCE-TUM-1.0	DK105	Zea_mays_GCA_003709335.1	Zm-DK105-REFERENCE-TUM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-DK105-REFERENCE-TUM-1.0_Zm00016a.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_024505845.1	Zm-Dan340-REFERENCE-BAAFS-1.0	inbred line Dan340	Zea_mays_GCA_024505845.1	Zm-Dan340-REFERENCE-BAAFS-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Dan340-REFERENCE-BAAFS-1.0_Zm00104aa.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902166955.1	Zm-Oh7B-REFERENCE-NAM-1.0	OH7B	Zea_mays_GCA_902166955.1	Zm-Oh7B-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Oh7B-REFERENCE-NAM-1.0_Zm00038ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902166965.1	Zm-P39-REFERENCE-NAM-1.0	P39	Zea_mays_GCA_902166965.1	Zm-P39-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-P39-REFERENCE-NAM-1.0_Zm00040ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902166975.1	Zm-CML247-REFERENCE-NAM-1.0	CML247	Zea_mays_GCA_902166975.1	Zm-CML247-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML247-REFERENCE-NAM-1.0_Zm00023ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902166985.1	Zm-CML277-REFERENCE-NAM-1.0	CML277	Zea_mays_GCA_902166985.1	Zm-CML277-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML277-REFERENCE-NAM-1.0_Zm00024ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902166995.1	Zm-M162W-REFERENCE-NAM-1.0	M162W	Zea_mays_GCA_902166995.1	Zm-M162W-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-M162W-REFERENCE-NAM-1.0_Zm00033ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167005.1	Zm-NC350-REFERENCE-NAM-1.0	NC350	Zea_mays_GCA_902167005.1	Zm-NC350-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-NC350-REFERENCE-NAM-1.0_Zm00036ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167015.1	Zm-Oh43-REFERENCE-NAM-1.0	OH43	Zea_mays_GCA_902167015.1	Zm-Oh43-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Oh43-REFERENCE-NAM-1.0_Zm00039ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167025.1	Zm-CML333-REFERENCE-NAM-1.0	CML333	Zea_mays_GCA_902167025.1	Zm-CML333-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML333-REFERENCE-NAM-1.0_Zm00026ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167035.1	Zm-NC358-REFERENCE-NAM-1.0	NC358	Zea_mays_GCA_902167035.1	Zm-NC358-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-NC358-REFERENCE-NAM-1.0_Zm00037ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167045.1	Zm-Ky21-REFERENCE-NAM-1.0	Ky21	Zea_mays_GCA_902167045.1	Zm-Ky21-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Ky21-REFERENCE-NAM-1.0_Zm00031ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167055.1	Zm-CML103-REFERENCE-NAM-1.0	CML103	Zea_mays_GCA_902167055.1	Zm-CML103-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML103-REFERENCE-NAM-1.0_Zm00021ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167065.1	Zm-Il14H-REFERENCE-NAM-1.0	Il14H	Zea_mays_GCA_902167065.1	Zm-Il14H-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Il14H-REFERENCE-NAM-1.0_Zm00028ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167075.1	Zm-B97-REFERENCE-NAM-1.0	B97	Zea_mays_GCA_902167075.1	Zm-B97-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-B97-REFERENCE-NAM-1.0_Zm00018ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167085.1	Zm-HP301-REFERENCE-NAM-1.0	Hp301	Zea_mays_GCA_902167085.1	Zm-HP301-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-HP301-REFERENCE-NAM-1.0_Zm00027ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167095.1	Zm-CML322-REFERENCE-NAM-1.0	CML322	Zea_mays_GCA_902167095.1	Zm-CML322-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML322-REFERENCE-NAM-1.0_Zm00025ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167105.1	Zm-Ki3-REFERENCE-NAM-1.0	KI3	Zea_mays_GCA_902167105.1	Zm-Ki3-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Ki3-REFERENCE-NAM-1.0_Zm00029ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167115.1	Zm-Ki11-REFERENCE-NAM-1.0	KI11	Zea_mays_GCA_902167115.1	Zm-Ki11-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Ki11-REFERENCE-NAM-1.0_Zm00030ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167135.1	Zm-CML69-REFERENCE-NAM-1.0	CML69	Zea_mays_GCA_902167135.1	Zm-CML69-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML69-REFERENCE-NAM-1.0_Zm00020ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167155.1	Zm-CML228-REFERENCE-NAM-1.0	CML228	Zea_mays_GCA_902167155.1	Zm-CML228-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML228-REFERENCE-NAM-1.0_Zm00022ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167165.1	Zm-Mo18W-REFERENCE-NAM-1.0	Mo18W	Zea_mays_GCA_902167165.1	Zm-Mo18W-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Mo18W-REFERENCE-NAM-1.0_Zm00034ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167175.1	Zm-M37W-REFERENCE-NAM-1.0	M37W	Zea_mays_GCA_902167175.1	Zm-M37W-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-M37W-REFERENCE-NAM-1.0_Zm00032ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167185.1	Zm-Tzi8-REFERENCE-NAM-1.0	TZI8	Zea_mays_GCA_902167185.1	Zm-Tzi8-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Tzi8-REFERENCE-NAM-1.0_Zm00042ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167205.1	Zm-Tx303-REFERENCE-NAM-1.0	Tx303	Zea_mays_GCA_902167205.1	Zm-Tx303-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Tx303-REFERENCE-NAM-1.0_Zm00041ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_902167375.1	Zm-Ms71-REFERENCE-NAM-1.0	MS71	Zea_mays_GCA_902167375.1	Zm-Ms71-REFERENCE-NAM-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-Ms71-REFERENCE-NAM-1.0_Zm00035ab.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_905067065.1	Zm-LH244-REFERENCE-BAYER-1.0		Zea_mays_GCA_905067065.1	Zm-LH244-REFERENCE-BAYER-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-LH244-REFERENCE-BAYER-1.0_Zm00052a.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_910593975.1	Zm-B104-REFERENCE-CORTEVA-1.0	B104	Zea_mays_GCA_910593975.1	Zm-B104-REFERENCE-CORTEVA-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-B104-REFERENCE-CORTEVA-1.0_Zm00057aa.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_963555555.1	Zm-PT-REFERENCE-HiLo-1.0		Zea_mays_GCA_963555555.1	Zm-PT-REFERENCE-HiLo-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-PT-REFERENCE-HiLo-1.0_Zm00109aa.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_963555565.1	Zm-CML530-REFERENCE-HiLo-1.0		Zea_mays_GCA_963555565.1	Zm-CML530-REFERENCE-HiLo-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML530-REFERENCE-HiLo-1.0_Zm00108aa.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
Zea mays	GCA_963555605.1	Zm-CML459-REFERENCE-HiLo-1.0		Zea_mays_GCA_963555605.1	Zm-CML459-REFERENCE-HiLo-1.0	yes	no	https://download.maizegdb.org/All_gene_model_GFF/Zm-CML459-REFERENCE-HiLo-1.0_Zm00107aa.1.gff3.gz		fetched	fetched	MaizeGDB assembly directory matches local assembly_name after normalization
