status	species	common_name	assembly_accession	assembly_name	assembly_level	source	cultivar	bioproject	species_dir	has_genome	has_gff3	has_gtf	has_readme_zh	has_readme_en	part_or_aria2_files	genome_size_bytes	gff3_size_bytes	gtf_size_bytes	directory_size_bytes	genome_path	gff3_path	gtf_path	genome_url	gff3_url	gtf_url	phytozome_note
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_003713155.1	ASM371315v1	Chromosome	NCBI GenBank	Shitouqi	PRJNA480120	Arachis_hypogaea_GCA_003713155.1	yes	yes	yes	yes	yes	0	755533638	14420164	15616538	785574816	Arachis_hypogaea_GCA_003713155.1/genome/GCA_003713155.1_ASM371315v1_genomic.fna.gz	Arachis_hypogaea_GCA_003713155.1/annotation/GCA_003713155.1_ASM371315v1_genomic.gff.gz	Arachis_hypogaea_GCA_003713155.1/annotation/GCA_003713155.1_ASM371315v1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/155/GCA_003713155.1_ASM371315v1/GCA_003713155.1_ASM371315v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/155/GCA_003713155.1_ASM371315v1/GCA_003713155.1_ASM371315v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/155/GCA_003713155.1_ASM371315v1/GCA_003713155.1_ASM371315v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_004170445.1	ASM417044v1	Chromosome	NCBI GenBank	GDAAS-fuhuasheng2018	PRJNA500997	Arachis_hypogaea_GCA_004170445.1	yes	yes	yes	yes	yes	0	757723151	18134903	19652679	795515221	Arachis_hypogaea_GCA_004170445.1/genome/GCA_004170445.1_ASM417044v1_genomic.fna.gz	Arachis_hypogaea_GCA_004170445.1/annotation/GCA_004170445.1_ASM417044v1_genomic.gff.gz	Arachis_hypogaea_GCA_004170445.1/annotation/GCA_004170445.1_ASM417044v1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/170/445/GCA_004170445.1_ASM417044v1/GCA_004170445.1_ASM417044v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/170/445/GCA_004170445.1_ASM417044v1/GCA_004170445.1_ASM417044v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/170/445/GCA_004170445.1_ASM417044v1/GCA_004170445.1_ASM417044v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_039852515.1	HN51	Complete Genome	NCBI GenBank	Huayu23	PRJNA1106792	Arachis_hypogaea_GCA_039852515.1	yes	yes	yes	yes	yes	0	767399010	10698166	11542763	789644227	Arachis_hypogaea_GCA_039852515.1/genome/GCA_039852515.1_HN51_genomic.fna.gz	Arachis_hypogaea_GCA_039852515.1/annotation/GCA_039852515.1_HN51_genomic.gff.gz	Arachis_hypogaea_GCA_039852515.1/annotation/GCA_039852515.1_HN51_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/852/515/GCA_039852515.1_HN51/GCA_039852515.1_HN51_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/852/515/GCA_039852515.1_HN51/GCA_039852515.1_HN51_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/852/515/GCA_039852515.1_HN51/GCA_039852515.1_HN51_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_039852645.1	HN873	Complete Genome	NCBI GenBank	Chedouzi	PRJNA1106792	Arachis_hypogaea_GCA_039852645.1	yes	yes	yes	yes	yes	0	761889885	10973428	11697663	784565294	Arachis_hypogaea_GCA_039852645.1/genome/GCA_039852645.1_HN873_genomic.fna.gz	Arachis_hypogaea_GCA_039852645.1/annotation/GCA_039852645.1_HN873_genomic.gff.gz	Arachis_hypogaea_GCA_039852645.1/annotation/GCA_039852645.1_HN873_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/852/645/GCA_039852645.1_HN873/GCA_039852645.1_HN873_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/852/645/GCA_039852645.1_HN873/GCA_039852645.1_HN873_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/852/645/GCA_039852645.1_HN873/GCA_039852645.1_HN873_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_039853315.1	S245	Complete Genome	NCBI GenBank	Laiyang Silihong	PRJNA1106792	Arachis_hypogaea_GCA_039853315.1	yes	yes	yes	yes	yes	0	764898432	10971214	11467160	787341103	Arachis_hypogaea_GCA_039853315.1/genome/GCA_039853315.1_S245_genomic.fna.gz	Arachis_hypogaea_GCA_039853315.1/annotation/GCA_039853315.1_S245_genomic.gff.gz	Arachis_hypogaea_GCA_039853315.1/annotation/GCA_039853315.1_S245_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/853/315/GCA_039853315.1_S245/GCA_039853315.1_S245_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/853/315/GCA_039853315.1_S245/GCA_039853315.1_S245_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/853/315/GCA_039853315.1_S245/GCA_039853315.1_S245_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_039854485.1	S83	Complete Genome	NCBI GenBank	Yunnan Rainbow Peanut	PRJNA1106792	Arachis_hypogaea_GCA_039854485.1	yes	yes	yes	yes	yes	0	768741073	10876222	11449161	791070729	Arachis_hypogaea_GCA_039854485.1/genome/GCA_039854485.1_S83_genomic.fna.gz	Arachis_hypogaea_GCA_039854485.1/annotation/GCA_039854485.1_S83_genomic.gff.gz	Arachis_hypogaea_GCA_039854485.1/annotation/GCA_039854485.1_S83_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/854/485/GCA_039854485.1_S83/GCA_039854485.1_S83_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/854/485/GCA_039854485.1_S83/GCA_039854485.1_S83_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/854/485/GCA_039854485.1_S83/GCA_039854485.1_S83_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_041383265.1	AhypogaeaLine8 v1.0	Chromosome	NCBI GenBank	Line8	PRJNA1104288	Arachis_hypogaea_GCA_041383265.1	yes	yes	yes	yes	yes	0	780427580	14787212	14937928	810157426	Arachis_hypogaea_GCA_041383265.1/genome/GCA_041383265.1_AhypogaeaLine8_v1.0_genomic.fna.gz	Arachis_hypogaea_GCA_041383265.1/annotation/GCA_041383265.1_AhypogaeaLine8_v1.0_genomic.gff.gz	Arachis_hypogaea_GCA_041383265.1/annotation/GCA_041383265.1_AhypogaeaLine8_v1.0_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/383/265/GCA_041383265.1_AhypogaeaLine8_v1.0/GCA_041383265.1_AhypogaeaLine8_v1.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/383/265/GCA_041383265.1_AhypogaeaLine8_v1.0/GCA_041383265.1_AhypogaeaLine8_v1.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/383/265/GCA_041383265.1_AhypogaeaLine8_v1.0/GCA_041383265.1_AhypogaeaLine8_v1.0_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCA_047302255.1	ASM4730225v1	Chromosome	NCBI GenBank	aisheng	PRJNA792912	Arachis_hypogaea_GCA_047302255.1	yes	yes	yes	yes	yes	0	762804144	10010416	11095591	783914655	Arachis_hypogaea_GCA_047302255.1/genome/GCA_047302255.1_ASM4730225v1_genomic.fna.gz	Arachis_hypogaea_GCA_047302255.1/annotation/GCA_047302255.1_ASM4730225v1_genomic.gff.gz	Arachis_hypogaea_GCA_047302255.1/annotation/GCA_047302255.1_ASM4730225v1_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/302/255/GCA_047302255.1_ASM4730225v1/GCA_047302255.1_ASM4730225v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/302/255/GCA_047302255.1_ASM4730225v1/GCA_047302255.1_ASM4730225v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/302/255/GCA_047302255.1_ASM4730225v1/GCA_047302255.1_ASM4730225v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Arachis hypogaea	peanut	GCF_003086295.3	arahy.Tifrunner.gnm2.J5K5	Chromosome	NCBI RefSeq	Tifrunner	PRJNA476953	Arachis_hypogaea_GCF_003086295.3	yes	yes	yes	yes	yes	0	765878382	29506755	28253608	823643625	Arachis_hypogaea_GCF_003086295.3/genome/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.fna.gz	Arachis_hypogaea_GCF_003086295.3/annotation/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.gff.gz	Arachis_hypogaea_GCF_003086295.3/annotation/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/086/295/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/086/295/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/086/295/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
完整：清单、文件、中文 README 都存在	Beta vulgaris	sugar beet	GCA_000511025.2	RefBeet-1.2.2	Chromosome	NCBI GenBank		PRJNA41497	Beta_vulgaris_GCA_000511025.2	yes	yes	yes	yes	yes	0	166014563	5693520	5048117	176760699	Beta_vulgaris_GCA_000511025.2/genome/GCA_000511025.2_RefBeet-1.2.2_genomic.fna.gz	Beta_vulgaris_GCA_000511025.2/annotation/GCA_000511025.2_RefBeet-1.2.2_genomic.gff.gz	Beta_vulgaris_GCA_000511025.2/annotation/GCA_000511025.2_RefBeet-1.2.2_genomic.gtf.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/025/GCA_000511025.2_RefBeet-1.2.2/GCA_000511025.2_RefBeet-1.2.2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/025/GCA_000511025.2_RefBeet-1.2.2/GCA_000511025.2_RefBeet-1.2.2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/025/GCA_000511025.2_RefBeet-1.2.2/GCA_000511025.2_RefBeet-1.2.2_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
