status	species	common_name	assembly_accession	assembly_name	assembly_level	source	cultivar	bioproject	species_dir	has_genome	has_gff3	has_gtf	has_readme_zh	has_readme_en	part_or_aria2_files	genome_size_bytes	gff3_size_bytes	gtf_size_bytes	directory_size_bytes	genome_path	gff3_path	gtf_path	genome_url	gff3_url	gtf_url	phytozome_note
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_016103905.1	Haihua1_v1	Chromosome	NCBI GenBank	Haihua1	PRJNA680825	Arachis_hypogaea_GCA_016103905.1	yes	no	no	no	no	0	765765995	0	0	765767444	Arachis_hypogaea_GCA_016103905.1/genome/GCA_016103905.1_Haihua1_v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/103/905/GCA_016103905.1_Haihua1_v1/GCA_016103905.1_Haihua1_v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/103/905/GCA_016103905.1_Haihua1_v1/GCA_016103905.1_Haihua1_v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/103/905/GCA_016103905.1_Haihua1_v1/GCA_016103905.1_Haihua1_v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_019914975.1	ASM1991497v1	Contig	NCBI GenBank	KAUST	PRJNA739547	Arachis_hypogaea_GCA_019914975.1	yes	no	no	no	no	0	12770703	0	0	12772166	Arachis_hypogaea_GCA_019914975.1/genome/GCA_019914975.1_ASM1991497v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/914/975/GCA_019914975.1_ASM1991497v1/GCA_019914975.1_ASM1991497v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/914/975/GCA_019914975.1_ASM1991497v1/GCA_019914975.1_ASM1991497v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/914/975/GCA_019914975.1_ASM1991497v1/GCA_019914975.1_ASM1991497v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_019915045.1	ASM1991504v1	Contig	NCBI GenBank	KAUST	PRJNA674723	Arachis_hypogaea_GCA_019915045.1	yes	no	no	no	no	0	758379393	0	0	758380856	Arachis_hypogaea_GCA_019915045.1/genome/GCA_019915045.1_ASM1991504v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/045/GCA_019915045.1_ASM1991504v1/GCA_019915045.1_ASM1991504v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/045/GCA_019915045.1_ASM1991504v1/GCA_019915045.1_ASM1991504v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/915/045/GCA_019915045.1_ASM1991504v1/GCA_019915045.1_ASM1991504v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_022829005.1	arahy.TennRed.gnm1	Chromosome	NCBI GenBank	Tennessee Red	PRJNA801227	Arachis_hypogaea_GCA_022829005.1	yes	no	no	no	no	0	764222610	0	0	764224147	Arachis_hypogaea_GCA_022829005.1/genome/GCA_022829005.1_arahy.TennRed.gnm1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/829/005/GCA_022829005.1_arahy.TennRed.gnm1/GCA_022829005.1_arahy.TennRed.gnm1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/829/005/GCA_022829005.1_arahy.TennRed.gnm1/GCA_022829005.1_arahy.TennRed.gnm1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/829/005/GCA_022829005.1_arahy.TennRed.gnm1/GCA_022829005.1_arahy.TennRed.gnm1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_028451205.1	arahy.BaileyII.gnm1.genome_main	Chromosome	NCBI GenBank	Bailey_II	PRJNA675616	Arachis_hypogaea_GCA_028451205.1	yes	no	no	no	no	0	764934887	0	0	764936550	Arachis_hypogaea_GCA_028451205.1/genome/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/451/205/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/451/205/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/451/205/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main/GCA_028451205.1_arahy.BaileyII.gnm1.genome_main_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_054824515.1	ASM5482451v1	Complete Genome	NCBI GenBank	AABB; YunnanRainbow	PRJNA1259200	Arachis_hypogaea_GCA_054824515.1	yes	no	no	no	no	0	768742128	0	0	768743615	Arachis_hypogaea_GCA_054824515.1/genome/GCA_054824515.1_ASM5482451v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/515/GCA_054824515.1_ASM5482451v1/GCA_054824515.1_ASM5482451v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/515/GCA_054824515.1_ASM5482451v1/GCA_054824515.1_ASM5482451v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/515/GCA_054824515.1_ASM5482451v1/GCA_054824515.1_ASM5482451v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_054824525.1	ASM5482452v1	Complete Genome	NCBI GenBank	AABB; Huayu23	PRJNA1259200	Arachis_hypogaea_GCA_054824525.1	yes	no	no	no	no	0	772559215	0	0	772560696	Arachis_hypogaea_GCA_054824525.1/genome/GCA_054824525.1_ASM5482452v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/525/GCA_054824525.1_ASM5482452v1/GCA_054824525.1_ASM5482452v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/525/GCA_054824525.1_ASM5482452v1/GCA_054824525.1_ASM5482452v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/525/GCA_054824525.1_ASM5482452v1/GCA_054824525.1_ASM5482452v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_054824565.1	ASM5482456v1	Complete Genome	NCBI GenBank	AABB; Chedouzi	PRJNA1259200	Arachis_hypogaea_GCA_054824565.1	yes	no	no	no	no	0	771250506	0	0	771251988	Arachis_hypogaea_GCA_054824565.1/genome/GCA_054824565.1_ASM5482456v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/565/GCA_054824565.1_ASM5482456v1/GCA_054824565.1_ASM5482456v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/565/GCA_054824565.1_ASM5482456v1/GCA_054824565.1_ASM5482456v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/565/GCA_054824565.1_ASM5482456v1/GCA_054824565.1_ASM5482456v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Arachis hypogaea	peanut	GCA_054824585.1	ASM5482458v1	Complete Genome	NCBI GenBank	AABB; LaiyangSilihong	PRJNA1259200	Arachis_hypogaea_GCA_054824585.1	yes	no	no	no	no	0	764900370	0	0	764901859	Arachis_hypogaea_GCA_054824585.1/genome/GCA_054824585.1_ASM5482458v1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/585/GCA_054824585.1_ASM5482458v1/GCA_054824585.1_ASM5482458v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/585/GCA_054824585.1_ASM5482458v1/GCA_054824585.1_ASM5482458v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/585/GCA_054824585.1_ASM5482458v1/GCA_054824585.1_ASM5482458v1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
只有基因组：缺少 GFF3/GTF 注释	Beta vulgaris	sugar beet	GCA_000397105.1	BvvSeq-1	Scaffold	NCBI GenBank	KDH13	PRJNA176558	Beta_vulgaris_GCA_000397105.1	yes	no	no	no	no	0	138759473	0	0	138760892	Beta_vulgaris_GCA_000397105.1/genome/GCA_000397105.1_BvvSeq-1_genomic.fna.gz			https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/105/GCA_000397105.1_BvvSeq-1/GCA_000397105.1_BvvSeq-1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/105/GCA_000397105.1_BvvSeq-1/GCA_000397105.1_BvvSeq-1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/105/GCA_000397105.1_BvvSeq-1/GCA_000397105.1_BvvSeq-1_genomic.gtf.gz	Phytozome 暂不下载，仅后续记录可用性
